LECROYWR640Zi,60927,Waveform
Segments,10,SegmentSize,200002
Segment,TrigTime,TimeSinceSegment1
#1,09-Aug-2019 16:29:48,0                 
#2,09-Aug-2019 16:29:48,5.701447e-006     
#3,09-Aug-2019 16:29:48,1.129295e-005     
#4,09-Aug-2019 16:29:48,1.703487e-005     
#5,09-Aug-2019 16:29:48,2.266119e-005     
#6,09-Aug-2019 16:29:48,2.866887e-005     
#7,09-Aug-2019 16:29:48,3.442581e-005     
#8,09-Aug-2019 16:29:48,4.167359e-005     
#9,09-Aug-2019 16:29:48,4.747351e-005     
#10,09-Aug-2019 16:29:48,5.318782e-005    
Time,Ampl
-7.04357066e-007,-0.000298145
-7.04332066e-007,-0.00031849
-7.04307066e-007,-0.000333545
-7.04282066e-007,-0.000338835
-7.04257066e-007,-0.000332731
-7.04232066e-007,-0.00031849
-7.04207066e-007,-0.000301807
-7.04182066e-007,-0.000288786
-7.04157066e-007,-0.000286344
-7.04132066e-007,-0.000298145
-7.04107066e-007,-0.000324593
-7.04082066e-007,-0.000364062
-7.04057066e-007,-0.000410856
-7.04032066e-007,-0.00045887
-7.04007066e-007,-0.000499967
-7.03982066e-007,-0.000528451
-7.03957066e-007,-0.000539437
-7.03932066e-007,-0.000531706
-7.03907066e-007,-0.000506885
-7.03882066e-007,-0.000468229
-7.03857066e-007,-0.000420215
-7.03832066e-007,-0.000366097
-7.03807066e-007,-0.000308724
-7.03782066e-007,-0.000252165
-7.03757066e-007,-0.000198861
-7.03732066e-007,-0.00015166
-7.03707066e-007,-0.000113411
-7.03682066e-007,-8.37077e-005
-7.03657066e-007,-6.1735e-005
-7.03632066e-007,-4.38314e-005
-7.03607066e-007,-2.75553e-005
-7.03582066e-007,-1.16862e-005
-7.03557066e-007,3.77604e-006
-7.03532066e-007,1.639e-005
-7.03507066e-007,2.29004e-005
-7.03482066e-007,2.20866e-005
-7.03457066e-007,1.35417e-005
-7.03432066e-007,-1.10677e-006
-7.03407066e-007,-1.86035e-005
-7.03382066e-007,-3.7321e-005
-7.03357066e-007,-5.56315e-005
-7.03332066e-007,-7.31283e-005
-7.03307066e-007,-8.85905e-005
-7.03282066e-007,-0.000102018
-7.03257066e-007,-0.000113818
-7.03232066e-007,-0.000123177
-7.03207066e-007,-0.000130094
-7.03182066e-007,-0.000135384
-7.03157066e-007,-0.000139046
-7.03132066e-007,-0.000141895
-7.03107066e-007,-0.000145557
-7.03082066e-007,-0.000150439
-7.03057066e-007,-0.00015695
-7.03032066e-007,-0.000165902
-7.03007066e-007,-0.000177295
-7.02982066e-007,-0.000189502
-7.02957066e-007,-0.000201709
-7.02932066e-007,-0.000210661
-7.02907066e-007,-0.000212695
-7.02882066e-007,-0.000203337
-7.02857066e-007,-0.000180143
-7.02832066e-007,-0.000140674
-7.02807066e-007,-8.61491e-005
-7.02782066e-007,-1.90104e-005
-7.02757066e-007,5.58594e-005
-7.02732066e-007,0.000132357
-7.02707066e-007,0.000205599
-7.02682066e-007,0.000270296
-7.02657066e-007,0.000323193
-7.02632066e-007,0.00036307
-7.02607066e-007,0.000388704
-7.02582066e-007,0.000402539
-7.02557066e-007,0.000407422
-7.02532066e-007,0.000407422
-7.02507066e-007,0.000408236
-7.02482066e-007,0.000414339
-7.02457066e-007,0.000427767
-7.02432066e-007,0.00044974
-7.02407066e-007,0.000477816
-7.02382066e-007,0.000508333
-7.02357066e-007,0.000538444
-7.02332066e-007,0.000563265
-7.02307066e-007,0.000579541
-7.02282066e-007,0.000583203
-7.02257066e-007,0.000572217
-7.02232066e-007,0.000544141
-7.02207066e-007,0.000499382
-7.02182066e-007,0.00043916
-7.02157066e-007,0.000368359
-7.02132066e-007,0.000292676
-7.02107066e-007,0.000219027
-7.02082066e-007,0.000155143
-7.02057066e-007,0.000105908
-7.02032066e-007,7.33561e-005
-7.02007066e-007,5.62663e-005
-7.01982066e-007,5.09766e-005
-7.01957066e-007,5.13835e-005
-7.01932066e-007,5.05697e-005
-7.01907066e-007,4.32454e-005
-7.01882066e-007,2.57487e-005
-7.01857066e-007,-2.32747e-006
